method,mean_pr_auc,n_retrains,total_boosting_rounds,train_time_sec,seed
static_xgb,0.3876278736611187,1,100,0.4399447441101074,42
periodic_retrain,0.3981255802985646,16,1600,2.709273099899292,42
single_expert,0.3916256980591032,33,740,2.241858720779419,42
