chunk_start,weight_min,weight_mean,weight_max
4000,0.0,0.019992152429117654,1.0
4500,0.0,0.047675670828230585,1.0
5000,0.0,0.032437405582582984,0.9999999999999998
5500,0.0,0.032066703428636774,1.0
6000,0.0,0.12463538661359962,1.0000000000000002
6500,0.0,0.049403518774429105,0.9999999999999998
7000,0.0,0.03367901048203203,1.0
7500,0.0,0.10068503518292457,1.0
8000,0.0,0.07289165489888956,1.0
8500,0.0,0.10170651224110053,1.0
9000,0.0,0.07340805910749124,1.0000000000000002
9500,0.0,0.06724008565426566,1.0
10000,0.0,0.09924991997144572,1.0000000000000002
10500,0.0,0.04029491180905842,1.0
11000,0.0,0.057369455108629515,0.9999999999999999
11500,0.0,0.040869501596358056,1.0
12000,0.0,0.05920922133204834,0.9999999999999998
12500,0.0,0.03511709223223989,1.0000000000000002
13000,0.0,0.05663177732877872,0.9999999999999997
13500,0.0,0.09942653077411603,0.9999999999999998
14000,0.0,0.08883632193648044,1.0
14500,0.0,0.043136408078120414,0.9999999999999998
15000,0.0,0.02507105915553342,1.0
15500,0.0,0.08805978765001633,1.0
16000,0.0,0.034876670603163455,1.0
16500,0.0,0.020217889992537638,1.0
17000,0.0,0.030213509521356003,1.0000000000000002
17500,0.0,0.108241801972995,0.9999999999999998
18000,0.0,0.03307768766303025,0.9999999999999999
18500,0.0,0.10178960345232071,1.0
19000,0.0,0.08623820062647901,0.9999999999999994
19500,0.0,0.06986129267253527,0.9999999999999999
