window_start,window_end,n,n_pos,pr_auc,method
43480,48480,5000,15,0.003,sliding_window_retrain
48480,53480,5000,5,0.6020615281395533,sliding_window_retrain
53480,58480,5000,8,0.5120519233575823,sliding_window_retrain
58480,63480,5000,4,0.14551561365286855,sliding_window_retrain
63480,68480,5000,6,0.18661070263236423,sliding_window_retrain
68480,73480,5000,7,0.0014,sliding_window_retrain
73480,78480,5000,13,0.0026,sliding_window_retrain
78480,83480,5000,12,0.868342516069789,sliding_window_retrain
83480,88480,5000,5,1.0,sliding_window_retrain
88480,93480,5000,6,0.6704954163842618,sliding_window_retrain
93480,98480,5000,8,0.5055304132530746,sliding_window_retrain
98480,103480,5000,10,0.7008665570429148,sliding_window_retrain
103480,108480,5000,6,0.6731750766426382,sliding_window_retrain
108480,113480,5000,3,0.500217817468961,sliding_window_retrain
113480,118480,5000,4,0.4010964912280702,sliding_window_retrain
118480,123480,5000,10,0.5859349026164721,sliding_window_retrain
123480,128480,5000,6,0.5361964658231266,sliding_window_retrain
128480,133480,5000,1,0.0002,sliding_window_retrain
133480,138480,5000,2,0.0004,sliding_window_retrain
138480,143480,5000,12,0.0024,sliding_window_retrain
143480,148480,5000,9,0.0018,sliding_window_retrain
148480,153480,5000,45,0.8490324521968692,sliding_window_retrain
153480,158480,5000,26,0.7877312722725088,sliding_window_retrain
158480,163480,5000,1,0.5,sliding_window_retrain
163480,168480,5000,3,1.0,sliding_window_retrain
168480,173480,5000,1,0.0002,sliding_window_retrain
173480,178480,5000,3,0.0006,sliding_window_retrain
178480,183480,5000,3,0.0640172735760971,sliding_window_retrain
183480,188480,5000,1,0.09090909090909091,sliding_window_retrain
188480,193480,5000,13,0.0026,sliding_window_retrain
193480,198480,5000,2,0.0004,sliding_window_retrain
198480,203480,5000,6,0.0012,sliding_window_retrain
203480,208480,5000,4,0.0008,sliding_window_retrain
208480,213480,5000,5,0.001,sliding_window_retrain
213480,218480,5000,6,0.0012,sliding_window_retrain
218480,223480,5000,8,0.4047483633567502,sliding_window_retrain
223480,228480,5000,5,0.925,sliding_window_retrain
228480,233480,5000,6,0.0012,sliding_window_retrain
233480,238480,5000,12,0.0024,sliding_window_retrain
238480,243480,5000,6,0.7913008778930567,sliding_window_retrain
243480,248480,5000,11,0.7517188549332563,sliding_window_retrain
248480,253480,5000,14,0.8087154374276019,sliding_window_retrain
253480,258480,5000,5,0.5664575004345558,sliding_window_retrain
258480,263480,5000,8,0.7658444816053511,sliding_window_retrain
263480,268480,5000,2,1.0,sliding_window_retrain
268480,273480,5000,1,0.0002,sliding_window_retrain
273480,278480,5000,5,0.001,sliding_window_retrain
278480,283480,5000,5,0.2900417462121424,sliding_window_retrain
283480,284807,1327,0,,sliding_window_retrain
28480,33480,5000,10,0.9012987012987013,adwin_online
33480,38480,5000,0,,adwin_online
38480,43480,5000,30,0.9302727929038608,adwin_online
43480,48480,5000,15,0.8660934878326183,adwin_online
48480,53480,5000,5,0.4159135870476373,adwin_online
53480,58480,5000,8,0.479434474447832,adwin_online
58480,63480,5000,4,0.5220445736434108,adwin_online
63480,68480,5000,6,0.813752276867031,adwin_online
68480,73480,5000,7,0.7152319412560331,adwin_online
73480,78480,5000,13,0.9373626373626374,adwin_online
78480,83480,5000,12,0.9311594202898551,adwin_online
83480,88480,5000,5,0.9666666666666666,adwin_online
88480,93480,5000,6,0.8061701837055248,adwin_online
93480,98480,5000,8,0.6841961999043116,adwin_online
98480,103480,5000,10,0.7038903497268987,adwin_online
103480,108480,5000,6,0.8354253835425383,adwin_online
108480,113480,5000,3,0.6684057971014492,adwin_online
113480,118480,5000,4,0.4098039215686275,adwin_online
118480,123480,5000,10,0.809412383066923,adwin_online
123480,128480,5000,6,0.7188878860810269,adwin_online
128480,133480,5000,1,0.0005970149253731343,adwin_online
133480,138480,5000,2,1.0,adwin_online
138480,143480,5000,12,0.9172457054622658,adwin_online
143480,148480,5000,9,0.6346607739309446,adwin_online
148480,153480,5000,45,0.8351342739820572,adwin_online
153480,158480,5000,26,0.7934514006657905,adwin_online
158480,163480,5000,1,1.0,adwin_online
163480,168480,5000,3,0.4777777777777778,adwin_online
168480,173480,5000,1,1.0,adwin_online
173480,178480,5000,3,0.6672110324804935,adwin_online
178480,183480,5000,3,0.7142857142857142,adwin_online
183480,188480,5000,1,0.2,adwin_online
188480,193480,5000,13,0.7029922466112141,adwin_online
193480,198480,5000,2,0.2520618556701031,adwin_online
198480,203480,5000,6,0.9583333333333333,adwin_online
203480,208480,5000,4,0.7505509641873278,adwin_online
208480,213480,5000,5,0.8047169811320756,adwin_online
213480,218480,5000,6,0.8999999999999999,adwin_online
218480,223480,5000,8,0.5744599524285214,adwin_online
223480,228480,5000,5,1.0,adwin_online
228480,233480,5000,6,0.6868326316431752,adwin_online
233480,238480,5000,12,0.9180691912108462,adwin_online
238480,243480,5000,6,0.9150793650793649,adwin_online
