method,mean_pr_auc,n_retrains,total_boosting_rounds,train_time_sec,data_source,seed
static_xgb,0.298879926358029,1,100,0.3789353370666504,elliptic,42
periodic_retrain,0.677657720091794,5,500,3.304945707321167,elliptic,42
sliding_window_retrain,0.666147576420099,5,500,1.4695422649383545,elliptic,42
adwin_online,0.7746108473086334,20,1050,3.2228310108184814,elliptic,42
single_expert,0.345981319776244,10,280,0.9670593738555908,elliptic,42
mixture,0.39453178543547485,10,440,1.1132926940917969,elliptic,42
