candidate_id,birth_time,decided_at,mean_loss_with_candidate,mean_loss_without_candidate,outcome
1,4000,5000,0.18660404411615003,0.16769127484094304,discarded
2,5000,6000,0.12709140153763968,0.102608790373578,discarded
3,11500,12500,0.30125229791924313,0.20141073940560206,discarded
4,15000,16000,0.09519267353383337,0.1288365245728322,promoted
5,18500,19500,0.08747915554220345,0.08189126336152933,discarded
